method,aggregate_normalised_iqm,ci_low,ci_high
fixed,0.599074095583997,0.5375594779110354,0.6555906217634454
decay,0.8986312337873561,0.8660440766332436,0.9285679029204583
boltzmann,0.9286642684762955,0.888440418885505,0.9528741495089704
vdbe,0.9071124566366194,0.863621591371212,0.9336235423850813
rate,0.8657608082840336,0.8249244553279589,0.8977555792363395
