method,aggregate_normalised_iqm,ci_low,ci_high
fixed,0.5982243104392094,0.3724950552944933,0.6815190636388768
decay,0.4029058433314848,0.25749848453568636,0.4676534789029883
boltzmann,0.4095922368094517,0.23257356561419718,0.45767252531726627
vdbe,0.4662516894811105,0.39518518179576523,0.5322944143109463
rate,0.6770481121548723,0.44943014507344364,0.7552639669647775
