method,linear_rank,linear_aggregate_iqm,linear_ci_low,linear_ci_high,dqn_rank,dqn_aggregate_iqm,dqn_ci_low,dqn_ci_high
fixed,5,0.599074095583997,0.5375594779110354,0.6555906217634454,2,0.5982243104392094,0.3724950552944933,0.6815190636388768
decay,3,0.8986312337873561,0.8660440766332436,0.9285679029204583,5,0.4029058433314848,0.25749848453568636,0.4676534789029883
boltzmann,1,0.9286642684762955,0.888440418885505,0.9528741495089704,4,0.4095922368094517,0.23257356561419718,0.45767252531726627
vdbe,2,0.9071124566366194,0.863621591371212,0.9336235423850813,3,0.4662516894811105,0.39518518179576523,0.5322944143109463
rate,4,0.8657608082840336,0.8249244553279589,0.8977555792363395,1,0.6770481121548723,0.44943014507344364,0.7552639669647775
