method,linear_rank,dqn_rank,rank_change_to_dqn,linear_iqm,dqn_iqm
fixed,5,2,3,0.599074095583997,0.5982243104392094
decay,3,5,-2,0.8986312337873561,0.4029058433314848
boltzmann,1,4,-3,0.9286642684762955,0.4095922368094517
vdbe,2,3,-1,0.9071124566366194,0.4662516894811105
rate,4,1,3,0.8657608082840336,0.6770481121548723
