baseline,linear_difference,linear_ci_low,linear_ci_high,linear_direction,dqn_difference,dqn_ci_low,dqn_ci_high,dqn_direction,descriptive_shift
fixed,0.2666867127000365,0.19661754045310004,0.33586657370229406,RATE better,0.07882380171566283,-0.17385476644164033,0.3221894061551498,inconclusive,-0.1878629109843737
decay,-0.03287042550332253,-0.08226529546599538,0.013654291849021599,inconclusive,0.27414226882338744,0.023156327185864006,0.4288010890553354,RATE better,0.30701269432670997
boltzmann,-0.0629034601922619,-0.10899972957687339,-0.012285567855592629,RATE worse,0.26745587534542054,0.02944315767300016,0.44496386706095925,RATE better,0.33035933553768243
vdbe,-0.04135164835258587,-0.08794539341811057,0.012247928859754958,inconclusive,0.21079642267376175,-0.04263643552390514,0.31244633095951685,inconclusive,0.2521480710263476
