env_id,method,mean,std,median,iqm,iqm_ci_low,iqm_ci_high,normalised_mean,normalised_iqm,min,max
MountainCar-v0,fixed,-153.4333333333333,30.11226503847106,-147.25,-149.31428571428572,-167.68836274509803,-135.59236904761906,0.49017543859649115,0.5335338345864662,-200.0,-108.5
MountainCar-v0,decay,-110.71000000000002,8.976380885028412,-108.65,-108.64285714285714,-112.64375,-106.18664285714286,0.9398947368421052,0.961654135338346,-134.5,-99.0
MountainCar-v0,boltzmann,-103.40666666666667,6.797054805059946,-100.75,-101.40714285714286,-104.14287946428571,-99.74114705882353,1.0167719298245614,1.0378195488721804,-124.0,-96.1
MountainCar-v0,vdbe,-104.72333333333333,6.30011950260679,-102.35,-102.76666666666668,-105.82033333333332,-101.32666666666667,1.0029122807017543,1.0235087719298244,-124.2,-97.9
MountainCar-v0,rate,-116.26333333333332,15.145830957801516,-113.05000000000001,-113.79285714285713,-119.2,-109.21983333333334,0.8814385964912282,0.9074436090225565,-182.1,-100.2
CartPole-v1,fixed,92.00666666666667,88.68352462678672,61.599999999999994,67.29285714285714,43.64114705882353,99.88684375,0.1464574616457462,0.0947549312612074,13.4,418.1
CartPole-v1,decay,402.1766666666666,141.22639365348041,482.8,477.45454545454544,402.2583035714286,496.4957608695652,0.7953486750348674,0.9528337771015594,37.8,500.0
CartPole-v1,boltzmann,383.44,165.38530268686995,486.95000000000005,472.34545454545446,396.0340259740259,497.4363636363636,0.7561506276150626,0.9421453023963484,9.3,500.0
CartPole-v1,vdbe,352.5299999999999,181.94263997584324,461.85,450.47727272727275,304.53125,488.30480731225293,0.6914853556485355,0.8963959680486877,10.9,500.0
CartPole-v1,rate,318.1433333333333,175.99289696351155,368.75,351.8142857142857,235.79866666666666,459.49113636363643,0.6195467224546722,0.689988045427376,12.9,500.0
Acrobot-v1,fixed,-107.32333333333335,9.84159656704672,-105.85,-106.19285714285716,-110.5,-102.11331249999999,0.9577479674796748,0.9605052264808364,-127.4,-91.8
Acrobot-v1,decay,-108.10999999999999,19.980531041232492,-105.25,-103.60714285714286,-110.53529411764706,-98.33971428571428,0.9558292682926829,0.9668118466898956,-174.9,-86.9
Acrobot-v1,boltzmann,-103.05333333333331,10.86632676994689,-101.9,-102.35000000000001,-107.00029411764706,-97.97208333333334,0.9681626016260164,0.9698780487804879,-127.5,-86.4
Acrobot-v1,vdbe,-106.11333333333332,16.018259695677333,-100.75,-102.13125,-110.82779761904763,-97.61996875000001,0.9606991869918698,0.9704115853658537,-151.5,-77.5
Acrobot-v1,rate,-107.03666666666666,9.520268155211093,-107.1,-107.31333333333335,-111.52172619047619,-103.54000000000002,0.9584471544715446,0.9577723577235773,-126.7,-89.7
LunarLander-v3,fixed,58.03196546425392,63.31320340490489,57.1818980578804,58.04014816475541,29.751780756792574,85.57755804708091,0.6263999091164577,0.62642144253883,-76.71058265733045,189.04635775260118
LunarLander-v3,decay,52.65941059997062,53.8347970071027,55.56271281546297,49.25676481887795,21.419454559989745,78.3026913664074,0.612261606842028,0.6033072758391526,-25.325338838131664,168.4537008197568
LunarLander-v3,boltzmann,35.22957553086136,60.62194757618436,28.229842486299432,32.15066793829556,4.962183357294566,61.53966548198067,0.5663936198180561,0.5582912314165672,-64.33844965608964,197.6544066314437
LunarLander-v3,vdbe,35.43537449251516,60.40087319660237,44.43754732730265,39.14896799483855,13.522153774086814,58.79527334194928,0.5669351960329347,0.576707810512733,-142.6613518474626,149.06203914294207
LunarLander-v3,rate,56.27009009501318,84.44301107124672,74.32582328525137,66.26218411761793,19.095749180556584,95.29363901432686,0.6217633949868768,0.6480583792568894,-100.40790671465831,199.94106925278587
