approximator,env_id,early_td_mean,late_td_mean,td_change_percent,early_greedy_mean,late_greedy_mean,inversion_seeds,n_seeds
linear,MountainCar-v0,12.224679497698295,2.62541209357,-78.52367340948021,-200.0,-113.03,0,10
linear,CartPole-v1,6.7131488726899065,81.29909287646929,1111.0426033780684,87.845,398.36,9,10
linear,Acrobot-v1,6.747926797417196,4.865371919601254,-27.898270599741824,-362.46000000000004,-104.69500000000001,0,10
linear,LunarLander-v3,3.687265653641655,3.940213878689774,6.860048849431277,-433.27195123307564,41.05281087238059,9,10
double_dqn,MountainCar-v0,0.01939467816243041,0.02709571958621343,39.70698229321881,-200.0,-200.0,0,10
double_dqn,CartPole-v1,0.10036232865941859,0.5932358150120824,491.0941116414697,124.505,309.135,10,10
double_dqn,Acrobot-v1,0.03850598708676698,1.139106981768012,2858.2593979508165,-494.985,-140.79000000000002,10,10
double_dqn,LunarLander-v3,1.8158306194322447,2.7313893713879587,50.42093365745652,-150.59982491727573,-220.53493418768522,1,10
