env_id,method,mean,std,median,iqm,iqm_ci_low,iqm_ci_high,normalised_mean,normalised_iqm
MountainCar-v0,fixed,-180.52666666666664,31.263528749727808,-200.0,-197.96818181818182,-200.0,-182.63749999999996,0.2049824561403509,0.021387559808612434
MountainCar-v0,decay,-191.63666666666668,20.252960334204246,-200.0,-200.0,-200.0,-197.375,0.08803508771929823,0.0
MountainCar-v0,boltzmann,-197.82333333333332,11.922094335029117,-200.0,-200.0,-200.0,-200.0,0.02291228070175439,0.0
MountainCar-v0,vdbe,-190.21,21.57129877950057,-200.0,-200.0,-200.0,-194.99565217391302,0.10305263157894735,0.0
MountainCar-v0,rate,-186.06333333333333,24.702372960609626,-200.0,-199.54545454545453,-200.0,-189.758175,0.14670175438596492,0.004784688995215311
CartPole-v1,fixed,353.4266666666667,173.84946903875627,476.6,440.84999999999997,307.51694791666665,493.79113636363644,0.6933612273361226,0.876255230125523
CartPole-v1,decay,320.93333333333334,197.0285404379945,472.9,411.20454545454544,241.17000000000004,488.1382954545454,0.6253835425383543,0.814235450741727
CartPole-v1,boltzmann,443.4466666666667,128.6726419314113,500.0,498.5363636363636,477.0223863636364,500.0,0.8816875871687588,0.9969379992392544
CartPole-v1,vdbe,393.03000000000003,159.65384786446904,500.0,481.00454545454545,408.84972826086954,500.0,0.7762133891213387,0.9602605553442373
CartPole-v1,rate,392.2300000000001,164.98009524662726,500.0,482.9818181818182,408.77724090909095,500.0,0.7745397489539749,0.9643971091669836
Acrobot-v1,fixed,-123.17,108.54608158559297,-83.7,-84.04666666666667,-93.0075294117647,-81.25325,0.9190975609756097,1.014520325203252
Acrobot-v1,decay,-145.67999999999995,127.54244567310077,-85.7,-88.42857142857143,-133.49407291666668,-81.62857142857145,0.8641951219512195,1.0038327526132402
Acrobot-v1,boltzmann,-304.07666666666665,195.48013336456953,-362.4,-386.2863636363636,-468.5273863636363,-183.19339285714295,0.4778617886178862,0.277350332594235
Acrobot-v1,vdbe,-126.30333333333333,100.18323379355118,-86.0,-85.90714285714287,-111.18685267857143,-82.29332142857142,0.9114552845528456,1.0099825783972125
Acrobot-v1,rate,-117.21333333333332,80.00822687584129,-84.05000000000001,-86.15714285714286,-103.52196428571429,-81.78653125,0.9336260162601626,1.0093728222996516
LunarLander-v3,fixed,-111.85060693280103,203.34643028367333,-68.06498798847547,-79.19681519047961,-144.55241787882002,-19.486723770758257,0.17934050807157623,0.265271538972422
LunarLander-v3,decay,-146.83906160502926,215.29255164729673,-101.16585808294914,-131.0370012458054,-225.02979108818468,-49.54850896604094,0.08726562735518618,0.12884999672156466
LunarLander-v3,boltzmann,-44.259258101137135,213.37068137377858,-80.63336671745802,-33.08467750214597,-132.39600243565073,71.64234576977748,0.357212478681218,0.38661926973119476
LunarLander-v3,vdbe,-152.21405943602315,202.34345144865304,-144.0815891392204,-153.0966213115246,-228.82004355857342,-61.39940190479658,0.07312089622099165,0.07079836496967208
LunarLander-v3,rate,-49.45954578590799,178.67203271107488,-34.339376408570054,-43.265885242231676,-122.70653876671048,48.7509880412491,0.34352751108971574,0.3598266177836008
