env_id,seed,early_td,late_td,td_ratio,td_percent_change,early_greedy_return,late_greedy_return,greedy_return_change,td_increased,greedy_improved,inversion_observed
MountainCar-v0,3000,0.02083636070322598,0.05550901166598002,2.6640454375214317,166.40454375214318,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,3001,0.02017783909133035,0.01915793975194295,0.9494544814848083,-5.054551851519173,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,3002,0.019295418696739692,0.053293672823905944,2.761985819613796,176.1985819613796,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,3003,0.017892242345896953,0.016548355229695638,0.9248899556455262,-7.5110044354473775,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,3004,0.019389997589310173,0.02538669385910034,1.3092675098163078,30.92675098163078,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,3005,0.016813277189425806,0.020048651456832885,1.1924297227099705,19.24297227099705,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,3006,0.018928729708721365,0.02214901107152303,1.170126649403099,17.012664940309907,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,3007,0.02139881695602423,0.020103282880783082,0.9394576775948155,-6.054232240518454,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,3008,0.022692397191658116,0.01861500851313273,0.8203191736823529,-17.968082631764716,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,3009,0.016521702151971455,0.02014556860923767,1.2193397764911162,21.933977649111625,-200.0,-200.0,0.0,True,False,False
CartPole-v1,3000,0.09992830494848963,0.4554897260785103,4.558165239701635,355.81652397016353,129.0,500.0,371.0,True,True,True
CartPole-v1,3001,0.09592239689998641,0.766509801042825,7.99093669273118,699.0936692731179,127.5,312.1,184.60000000000002,True,True,True
CartPole-v1,3002,0.09252379463219686,0.9136293490469456,9.87453392588177,887.453392588177,164.4,287.75,123.35,True,True,True
CartPole-v1,3003,0.09821117959253149,0.2939131881065667,2.9926652884731,199.26652884731,104.85,281.2,176.35,True,True,True
CartPole-v1,3004,0.09258693111695183,0.8926550152391195,9.641263669400123,864.1263669400123,94.75,185.75,91.0,True,True,True
