env_id,seed,early_td,late_td,td_ratio,td_percent_change,early_greedy_return,late_greedy_return,greedy_return_change,td_increased,greedy_improved,inversion_observed
MountainCar-v0,2000,0.015785485527742702,0.028662959734598797,1.8157794186453227,81.57794186453226,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,2001,0.017232802704109134,0.0210897141456604,1.2238121974570968,22.38121974570968,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,2002,0.01788002070870723,0.016368106444676716,0.9154411346238407,-8.455886537615932,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,2003,0.020149799042515914,0.01850591271718343,0.9184167384566021,-8.15832615433979,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,2004,0.01755685700145813,0.0189654377301534,1.0802296634630153,8.02296634630153,-200.0,-200.0,0.0,True,False,False
MountainCar-v0,2005,0.018491298733090862,0.17556573416739701,9.494505318505057,849.4505318505057,-200.0,-192.55,7.449999999999989,True,True,True
MountainCar-v0,2006,0.02429760742178773,0.018321384366353353,0.7540406776810674,-24.595932231893258,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,2007,0.020390843155453073,0.01763666936556498,0.8649308530848294,-13.506914691517057,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,2008,0.01954230122287091,0.016722305043538412,0.855697845040267,-14.430215495973297,-200.0,-200.0,0.0,False,False,False
MountainCar-v0,2009,0.014664892974846359,0.01725560359954834,1.1766607249807852,17.66607249807852,-200.0,-200.0,0.0,True,False,False
CartPole-v1,2000,0.10842180274838328,1.0735195943072438,9.901325813578131,890.1325813578131,108.75,314.5,205.75,True,True,True
CartPole-v1,2001,0.10479144928170872,1.409452992899716,13.450076342686245,1245.0076342686245,140.6,122.9,-17.69999999999999,True,False,False
CartPole-v1,2002,0.09556416995211262,1.0829859417416154,11.33255217184748,1033.255217184748,116.85000000000001,377.79999999999995,260.94999999999993,True,True,True
CartPole-v1,2003,0.1084553562578589,0.3115027987912297,2.8721753313005007,187.21753313005007,123.44999999999999,263.2,139.75,True,True,True
CartPole-v1,2004,0.08680960849751523,0.8899897454783321,10.252203193656914,925.2203193656915,114.65,500.0,385.35,True,True,True
CartPole-v1,2005,0.0972878414989155,1.756686405941099,18.056587327622857,1705.6587327622858,128.0,55.949999999999996,-72.05000000000001,True,False,False
CartPole-v1,2006,0.09221918450043709,1.1720181065529585,12.709048696341524,1170.9048696341524,85.69999999999999,97.5,11.800000000000011,True,True,True
CartPole-v1,2007,0.10546613059364322,0.3541497639335692,3.3579478259053044,235.79478259053045,112.1,500.0,387.9,True,True,True
CartPole-v1,2008,0.116585095150115,0.9786555088222026,8.394344985198027,739.4344985198027,87.45,484.45,397.0,True,True,True
CartPole-v1,2009,0.10228435460959404,0.713696687682718,6.977574335848377,597.7574335848377,129.3,19.799999999999997,-109.50000000000001,True,False,False
Acrobot-v1,2000,0.03575780195458348,1.0303811476260423,28.815561676155173,2781.5561676155176,-500.0,-82.05,417.95,True,True,True
Acrobot-v1,2001,0.040331982781204395,1.1985965845763684,29.71826580107887,2871.826580107887,-500.0,-233.39999999999998,266.6,True,True,True
Acrobot-v1,2002,0.033350059175308235,1.2022739402532578,36.050129144700264,3505.0129144700263,-500.0,-85.19999999999999,414.8,True,True,True
Acrobot-v1,2003,0.03660423073591908,1.2631542334765196,34.50842178844122,3350.842178844122,-385.75,-479.35,-93.60000000000002,True,False,False
Acrobot-v1,2004,0.037829035144382454,1.1261350589722394,29.76906639765219,2876.906639765219,-500.0,-295.55,204.45,True,True,True
Acrobot-v1,2005,0.03761031070479737,1.1202370360761882,29.78537042325728,2878.537042325728,-500.0,-294.4,205.60000000000002,True,True,True
Acrobot-v1,2006,0.042004200683797205,0.8164701444119215,19.437821244551582,1843.7821244551583,-500.0,-76.4,423.6,True,True,True
Acrobot-v1,2007,0.0509448685134822,0.8844416189849377,17.36075967594021,1636.0759675940208,-500.0,-82.9,417.1,True,True,True
Acrobot-v1,2008,0.03797041782015642,1.0475986286878587,27.58986307840273,2658.9863078402727,-500.0,-190.75,309.25,True,True,True
Acrobot-v1,2009,0.035676973977321426,1.1816874577641487,33.12185216479697,3212.185216479697,-500.0,-290.55,209.45,True,True,True
LunarLander-v3,2000,1.9071033277573994,46.398904001077014,24.329517612261945,2332.9517612261943,-313.95174796365814,-590.0237031628469,-276.0719551991888,True,False,False
LunarLander-v3,2001,1.7209933278462068,2.807210079061985,1.6311568636789309,63.11568636789309,-162.8521054341756,-81.15397561447993,81.69812981969567,True,True,True
LunarLander-v3,2002,1.5804443529417078,1.6810227209925652,1.0636392973049948,6.363929730499485,-220.71649757448284,-283.266155855787,-62.549658281304175,True,False,False
LunarLander-v3,2003,1.8935303438591926,19.813151425997415,10.463603865790898,946.3603865790898,-117.47103256380909,-617.584644032251,-500.11361146844195,True,False,False
LunarLander-v3,2004,1.9198107888096716,2.31024509122173,1.2033712408992852,20.337124089928516,-142.2227834475084,-157.84723815520505,-15.624454707696657,True,False,False
LunarLander-v3,2005,1.7816769901047385,1.2850412395636241,0.7212537663676518,-27.874623363234818,-32.87440000132878,-146.6765707157772,-113.80217071444841,False,False,False
LunarLander-v3,2006,1.5689419801954705,1.4429516560236613,0.9196972700315454,-8.030272996845456,-170.04936275615478,-61.18910101645608,108.8602617396987,False,True,False
LunarLander-v3,2007,1.6075087445821643,3.2041925078431763,1.9932659891539402,99.32659891539402,-174.72303303030665,-197.71369357554454,-22.990660545237887,True,False,False
LunarLander-v3,2008,1.4390401576427396,11.438113777637481,7.948432652757937,694.8432652757937,-209.9018427031585,-590.935992309128,-381.03414960596945,True,False,False
LunarLander-v3,2009,1.681521491597391,0.814185997453332,0.48419601029296483,-51.58039897070352,-187.51356111875884,-107.47231251844116,80.04124860031769,False,True,False
