env_id,seed,n_steps,alpha_bar,early_td,late_td,td_ratio,td_percent_change,early_greedy_return,late_greedy_return,greedy_return_change,td_increased,greedy_improved,inversion_observed
MountainCar-v0,2000,150000,0.75,12.53489646501747,2.645190585154426,0.21102612155885403,-78.8973878441146,-200.0,-121.9,78.1,False,True,False
MountainCar-v0,2001,150000,0.75,10.053481756785366,2.5709702708499353,0.25572934163974764,-74.42706583602524,-200.0,-125.35,74.65,False,True,False
MountainCar-v0,2002,150000,0.75,12.307866237956942,2.6786418354779045,0.21763657352864996,-78.236342647135,-200.0,-98.94999999999999,101.05000000000001,False,True,False
MountainCar-v0,2003,150000,0.75,12.33643677562773,2.6473400235670326,0.21459519241384226,-78.54048075861577,-200.0,-128.95,71.05000000000001,False,True,False
MountainCar-v0,2004,150000,0.75,13.141074922707077,2.5261657995651032,0.1922343350466729,-80.77656649533272,-200.0,-112.85,87.15,False,True,False
MountainCar-v0,2005,150000,0.75,12.240156585870375,2.512565105758821,0.20527230090007523,-79.47276990999248,-200.0,-103.44999999999999,96.55000000000001,False,True,False
MountainCar-v0,2006,150000,0.75,12.300159533230127,2.8047980770463807,0.22802940640476527,-77.19705935952348,-200.0,-108.0,92.0,False,True,False
MountainCar-v0,2007,150000,0.75,12.904779418647333,2.569936739069761,0.19914611910035573,-80.08538808996443,-200.0,-112.1,87.9,False,True,False
MountainCar-v0,2008,150000,0.75,12.05939998721003,2.7154756284749237,0.22517501959922595,-77.4824980400774,-200.0,-113.45,86.55,False,True,False
MountainCar-v0,2009,150000,0.75,12.368543293930509,2.583036870735715,0.20883921488177695,-79.11607851182231,-200.0,-105.30000000000001,94.69999999999999,False,True,False
CartPole-v1,2000,100000,1.0,7.790312540371299,68.96545676401098,8.852720145259278,785.2720145259278,95.2,351.15,255.95,True,True,True
CartPole-v1,2001,100000,1.0,6.62869546744524,70.60929930836878,10.65206565230583,965.2065652305829,67.95,294.55,226.60000000000002,True,True,True
CartPole-v1,2002,100000,1.0,6.936522467291718,52.810224735785866,7.6133574114126645,661.3357411412665,76.7,412.6,335.90000000000003,True,True,True
CartPole-v1,2003,100000,1.0,5.711690655127677,21.905840914341457,3.835263888928484,283.5263888928484,202.8,34.349999999999994,-168.45000000000002,True,False,False
CartPole-v1,2004,100000,1.0,7.299262588754753,137.55098978874253,18.844504923093687,1784.4504923093687,36.6,475.75,439.15,True,True,True
CartPole-v1,2005,100000,1.0,6.5398909273738655,96.11985067109968,14.697469994304205,1369.7469994304206,101.15,500.0,398.85,True,True,True
CartPole-v1,2006,100000,1.0,6.608657192802196,82.41124121186878,12.470194595904717,1147.0194595904718,32.45,500.0,467.55,True,True,True
CartPole-v1,2007,100000,1.0,6.368858665235943,121.53633526572185,19.082906632725436,1808.2906632725435,64.15,436.1,371.95000000000005,True,True,True
CartPole-v1,2008,100000,1.0,6.644046167789767,56.847221436237206,8.556114753059912,755.6114753059912,74.85,499.25,424.4,True,True,True
CartPole-v1,2009,100000,1.0,6.603552054706609,104.23446866851566,15.784606194513708,1478.4606194513708,126.6,479.85,353.25,True,True,True
Acrobot-v1,2000,100000,0.5,7.0404749449444335,5.147896065319001,0.731185907992693,-26.8814092007307,-328.45000000000005,-116.80000000000001,211.65000000000003,False,True,False
Acrobot-v1,2001,100000,0.5,6.432245373498292,5.009704667349691,0.7788422823529622,-22.115771764703783,-290.45,-106.25,184.2,False,True,False
Acrobot-v1,2002,100000,0.5,7.558473436837697,4.811219237039774,0.6365331938048968,-36.346680619510316,-422.70000000000005,-92.65,330.05000000000007,False,True,False
Acrobot-v1,2003,100000,0.5,6.976109019154674,4.769370670896853,0.6836720380661108,-31.632796193388923,-390.25,-107.4,282.85,False,True,False
Acrobot-v1,2004,100000,0.5,6.477675797711484,4.596737629379851,0.7096276153560889,-29.037238464391113,-318.3,-100.1,218.20000000000002,False,True,False
Acrobot-v1,2005,100000,0.5,6.73810310630531,5.146989856124523,0.763863326951487,-23.613667304851305,-422.65,-104.5,318.15,False,True,False
Acrobot-v1,2006,100000,0.5,6.193053408451258,4.772435407930698,0.7706110529287645,-22.93889470712355,-418.4,-106.6,311.79999999999995,False,True,False
Acrobot-v1,2007,100000,0.5,6.541567446751742,4.838722955049731,0.7396886135374833,-26.031138646251673,-380.9,-101.1,279.79999999999995,False,True,False
Acrobot-v1,2008,100000,0.5,6.193451597105663,5.044857503793903,0.814547013841438,-18.545298615856197,-354.75,-111.4,243.35,False,True,False
Acrobot-v1,2009,100000,0.5,7.328113843411404,4.515785203128513,0.6162274904051317,-38.37725095948683,-297.75,-100.15,197.6,False,True,False
LunarLander-v3,2000,300000,0.1,3.630162549580191,4.060390024376656,1.1185146584816756,11.851465848167564,-328.05392394595015,57.83877484299633,385.89269878894646,True,True,True
LunarLander-v3,2001,300000,0.1,3.7127181636877244,4.137952948486737,1.1145346255899586,11.453462558995863,-656.0611640095411,54.02884587802072,710.0900098875618,True,True,True
LunarLander-v3,2002,300000,0.1,3.751914072289388,3.863750856918192,1.0298079280266037,2.9807928026603703,-508.57153205016255,30.764827006412958,539.3363590565755,True,True,True
LunarLander-v3,2003,300000,0.1,3.7460601968123117,4.225530346031046,1.1279931779064138,12.799317790641386,-263.11484518312835,18.64816921022876,281.76301439335714,True,True,True
LunarLander-v3,2004,300000,0.1,3.7707846828514637,4.1275124124082625,1.094603049380969,9.460304938096908,-442.8086446236863,37.437702857390306,480.2463474810766,True,True,True
LunarLander-v3,2005,300000,0.1,3.5576116202813037,3.5431824982369884,0.9959441547913613,-0.4055845208638664,-439.58700635520245,28.414255996757557,468.00126235196,False,True,False
LunarLander-v3,2006,300000,0.1,3.6373070238303473,3.7532937819866796,1.0318880857173804,3.1888085717380443,-462.0001933041819,19.14859459083359,481.14878789501546,True,True,True
LunarLander-v3,2007,300000,0.1,3.8470426645072497,4.0781424221536895,1.0600720547704245,6.007205477042454,-418.0564914910077,40.730201702484656,458.78669319349234,True,True,True
LunarLander-v3,2008,300000,0.1,3.5734911250737444,3.684730209852415,1.0311289662924166,3.112896629241657,-497.7491961174986,62.993392196091214,560.7425883135899,True,True,True
LunarLander-v3,2009,300000,0.1,3.6455644375028284,3.9276532864470655,1.0773786484315895,7.737864843158948,-316.71651525039744,60.52334444258976,377.2398596929872,True,True,True
