env_id,decile,progress_percent,td_mean,td_std,greedy_mean,greedy_std
MountainCar-v0,1,10,12.224679497698297,0.8290564437165127,-200.0,0.0
MountainCar-v0,2,20,6.181104062500668,0.3655755942354263,-166.49,7.40757120189277
MountainCar-v0,3,30,2.336828418293793,0.43830933097489605,-136.54500000000002,11.657149689734997
MountainCar-v0,4,40,2.573193976058323,0.27781032443786413,-133.025,19.14919856170371
MountainCar-v0,5,50,2.7136642681800978,0.1664537214216695,-126.215,13.126522133959678
MountainCar-v0,6,60,2.7460455550866874,0.1806910025263532,-123.63499999999999,14.517404305790272
MountainCar-v0,7,70,2.6344077715975116,0.19413381068184066,-122.33,20.31026286825894
MountainCar-v0,8,80,2.7405715882781636,0.11815615860476489,-114.75500000000002,10.165312751378261
MountainCar-v0,9,90,2.653754004538577,0.15118931971691602,-110.28999999999999,6.9487728732808955
MountainCar-v0,10,100,2.62541209357,0.09093193774239368,-113.03,9.775570457921
CartPole-v1,1,10,6.7131488726899065,0.5517665344795356,87.84500000000001,49.32063152925401
CartPole-v1,2,20,11.722407288487561,0.9198028731083646,84.785,63.53546275724903
CartPole-v1,3,30,16.677835534567446,1.797098234017075,89.08500000000001,58.201131384574005
CartPole-v1,4,40,20.364942141773565,2.188927218754882,247.42000000000002,95.17240846659989
CartPole-v1,5,50,31.216317702769963,7.312007482498124,278.36,126.67703203203195
CartPole-v1,6,60,42.617015916947054,15.51261530987933,374.03499999999997,142.17596696816707
CartPole-v1,7,70,55.8902762391308,16.165307320908894,373.8,95.45373224761828
CartPole-v1,8,80,68.46162942002849,20.04911278597642,361.6449999999999,127.80377635265712
CartPole-v1,9,90,71.84807001660747,20.495812372687286,402.75000000000006,93.56515852008636
CartPole-v1,10,100,81.29909287646927,34.534512607529805,398.36,145.52803051875148
Acrobot-v1,1,10,6.747926797417196,0.46689907120878277,-362.46000000000004,51.6745682130001
Acrobot-v1,2,20,9.196063710900962,0.42808814914782767,-286.6050000000001,30.719939688164178
Acrobot-v1,3,30,9.442569061172286,0.4802873197301431,-282.45,43.67620760907602
Acrobot-v1,4,40,9.094795146279408,0.42861126902691254,-244.26999999999998,40.48831930322622
Acrobot-v1,5,50,8.487076462513256,0.3101911921503263,-205.89000000000001,20.55040956607272
Acrobot-v1,6,60,7.456849149776429,0.1986550862682919,-161.26500000000001,19.29438677727569
Acrobot-v1,7,70,6.201956483077158,0.289945851122522,-123.775,7.998446029629058
Acrobot-v1,8,80,5.506195023608948,0.19623527089535453,-115.28000000000002,9.869402773780749
Acrobot-v1,9,90,5.138476629219813,0.20786173916455997,-109.425,9.681059687176122
Acrobot-v1,10,100,4.865371919601254,0.21808432151152374,-104.69500000000001,6.705447619494004
LunarLander-v3,1,10,3.687265653641655,0.09311796603128353,-433.27195123307564,112.67429437737397
LunarLander-v3,2,20,3.522132819557296,0.05503304859505761,-398.099119104989,158.09776099789175
LunarLander-v3,3,30,3.0164858704871764,0.10331206145095588,-161.74967547601574,101.3881069719719
LunarLander-v3,4,40,3.0196947354437937,0.15840981535521492,-49.20870162931887,74.5188432648798
LunarLander-v3,5,50,3.5203015931598367,0.19783900642788163,-24.237722834417617,29.422028091984778
LunarLander-v3,6,60,3.5965028298121693,0.2696997010289712,31.94451625927555,44.29396240137935
LunarLander-v3,7,70,3.7334280242754536,0.28037158661957634,32.05028508426343,59.893330147257736
LunarLander-v3,8,80,3.8052391485235306,0.2730703751705617,33.51999767765946,59.9736950007401
LunarLander-v3,9,90,3.9377159903567955,0.2809987702571944,74.12996806087838,43.897392603048516
LunarLander-v3,10,100,3.940213878689774,0.2243268604618081,41.05281087238059,16.90216383302814
