env_id,variant,sigma,mean_final_eval,std_final_eval,median_final_eval,mean_epsilon,mean_abs_td,mean_abs_dq,mean_state_epsilon_count
MountainCar-v0,global_td,50000.0,-103.1875,5.436237538171836,-102.19999999999999,3.429896547750094e-05,1.9632634366460409,1.4724475774845307,0.0
MountainCar-v0,state_td,10000.0,-104.75,7.483505672000066,-103.4,0.033886523468859925,2.5691304096956973,1.9268478072717734,2726.5
MountainCar-v0,global_dq,50000.0,-103.125,5.477942783824705,-102.19999999999999,2.9381823537299135e-05,1.9624764612634475,1.4718573459475857,0.0
MountainCar-v0,state_dq,10000.0,-104.42500000000001,5.729559943211792,-103.6,0.03351474652861866,2.4071630272159252,1.8053722704119441,2722.375
Acrobot-v1,global_td,10000.0,-109.325,15.894271205149897,-103.8,0.0002682302554038995,5.092667718087027,2.546333859043513,0.0
Acrobot-v1,state_td,1.0,-206.0875,25.679198780335806,-205.15,0.9819773154524315,18.49396633212846,9.24698316606423,62748.5
Acrobot-v1,global_dq,10000.0,-98.4625,11.0875654290226,-98.5,0.0001405468161566884,5.09175205488163,2.545876027440815,0.0
Acrobot-v1,state_dq,1000000.0,-195.35,30.61670879018281,-182.8,0.88064357277911,16.290816254551398,8.145408127275699,76383.0
