env_id,decile,progress_percent,td_mean,td_std,greedy_mean,greedy_std
MountainCar-v0,1,10,0.019394678162430408,0.001971610467568201,-200.0,0.0
MountainCar-v0,2,20,0.015115850696166356,0.0007236493178060571,-199.87,0.4110960958218929
MountainCar-v0,3,30,0.015901637782653175,0.0009112139536569969,-199.945,0.17392527130926452
MountainCar-v0,4,40,0.016697992639541626,0.001020575069628933,-199.905,0.22662989897873048
MountainCar-v0,5,50,0.018291208594640094,0.0021500191553901343,-198.67000000000002,4.205829288023948
MountainCar-v0,6,60,0.01996698252360026,0.003195345587799131,-200.0,0.0
MountainCar-v0,7,70,0.02003547435283661,0.0034935089259506354,-200.0,0.0
MountainCar-v0,8,80,0.020110736175378164,0.004984198098659936,-200.0,0.0
MountainCar-v0,9,90,0.01980602831919988,0.003388756400320218,-200.0,0.0
MountainCar-v0,10,100,0.02709571958621343,0.014583385742738587,-200.0,0.0
CartPole-v1,1,10,0.1003623286594186,0.00858156376124505,124.505,21.782644084989624
CartPole-v1,2,20,0.20891563292913137,0.01322822928648301,134.445,29.568981964965328
CartPole-v1,3,30,0.29753918122988193,0.02459938423464479,177.86,70.48371285465726
CartPole-v1,4,40,0.3643934621018916,0.034960822020959056,195.54,86.60057030861735
CartPole-v1,5,50,0.4241172924364358,0.04787312826573006,174.22,90.80716197892468
CartPole-v1,6,60,0.47124953074954445,0.09495631861734684,248.77999999999997,137.31654266288854
CartPole-v1,7,70,0.4463595952573419,0.11151615574116364,293.62,148.23798845849947
CartPole-v1,8,80,0.46929539081320176,0.15450568387904354,245.15500000000003,128.78724801004174
CartPole-v1,9,90,0.5211263772778958,0.20156845906745685,282.435,162.26515688492367
CartPole-v1,10,100,0.5932358150120824,0.20480849473791848,309.13499999999993,96.41163210710396
Acrobot-v1,1,10,0.03850598708676698,0.004402313505470765,-494.985,15.858822465744414
Acrobot-v1,2,20,0.07020321317682043,0.020129708798426172,-495.195,15.194744157109064
Acrobot-v1,3,30,0.15440727714356034,0.04343428686377367,-482.875,51.33753905931474
Acrobot-v1,4,40,0.2707444551098347,0.06696023828974926,-467.98999999999995,69.93014292055244
Acrobot-v1,5,50,0.41172150272272523,0.08744908618768023,-422.38,100.50691573772977
Acrobot-v1,6,60,0.5964094357226789,0.1190331715686011,-429.785,87.06851085974385
Acrobot-v1,7,70,0.8028042728026211,0.1373532349508715,-308.68999999999994,144.64018536431092
Acrobot-v1,8,80,0.9852883432659507,0.1338618542920684,-216.10999999999999,122.74527780009389
Acrobot-v1,9,90,1.107616012020409,0.14897863977956916,-236.22000000000003,130.82112936712053
Acrobot-v1,10,100,1.139106981768012,0.16418446067672895,-140.79000000000002,88.84827829257895
LunarLander-v3,1,10,1.8158306194322442,0.10620794012096105,-150.59982491727573,54.48305915044455
LunarLander-v3,2,20,2.310207804903487,0.3440930912585221,-42.75205686816285,89.61506454450071
LunarLander-v3,3,30,1.747068007364869,0.3166372593398428,-5.274846313677621,37.17920464521994
LunarLander-v3,4,40,0.6964723864081999,0.20205395662377604,-20.38896324151042,103.73226633639497
LunarLander-v3,5,50,0.6044054247941574,0.16267812193624245,1.0993311578952416,100.39683644810779
LunarLander-v3,6,60,0.6869184537247319,0.2127622797763823,-22.009879707534232,141.38129276143445
LunarLander-v3,7,70,0.8014114710825186,0.2712634935000165,-75.02529464433562,87.0210306719112
LunarLander-v3,8,80,1.0324896456874408,0.48339523080693264,-82.77145549999223,131.1452407792849
LunarLander-v3,9,90,1.657944696451525,1.1581718610663627,-97.91321195167879,146.90799597238657
LunarLander-v3,10,100,2.7313893713879587,3.5008211381612315,-220.53493418768522,223.91870829947024
