env_id,sigma,mean_final_eval,std_final_eval,mean_minus_inf
MountainCar-v0,0.5,-167.6875,45.07997456901298,0.875
MountainCar-v0,1,-145.7625,47.17532458817851,22.80000000000001
MountainCar-v0,5,-180.2125,37.17374025149628,-11.650000000000006
MountainCar-v0,20,-181.2,36.30729954155225,-12.637499999999989
MountainCar-v0,100,-176.55,32.65560551312089,-7.987500000000011
MountainCar-v0,500,-179.89999999999998,25.099971542385692,-11.337499999999977
MountainCar-v0,2000,-166.6375,30.226333717472254,1.9250000000000114
MountainCar-v0,10000,-173.6125,30.47656886855868,-5.050000000000011
MountainCar-v0,50000,-168.98749999999998,29.558921181744292,-0.42499999999998295
MountainCar-v0,100000,-168.7875,29.644919463543832,-0.22499999999999432
MountainCar-v0,500000,-168.7875,29.53290840014624,-0.22499999999999432
MountainCar-v0,1e+06,-168.7875,29.53290840014624,-0.22499999999999432
MountainCar-v0,1e+07,-168.5625,29.628313557907987,0.0
MountainCar-v0,inf,-168.5625,29.628313557907987,0.0
Acrobot-v1,0.5,-223.35,150.17552587365415,-74.5875
Acrobot-v1,1,-122.975,103.49597300654469,25.787499999999994
Acrobot-v1,5,-108.92500000000001,74.65152854621073,39.83749999999998
Acrobot-v1,20,-120.1125,105.31029575904316,28.64999999999999
Acrobot-v1,100,-97.0375,44.551573244627726,51.724999999999994
Acrobot-v1,500,-86.1625,8.757843423387486,62.599999999999994
Acrobot-v1,2000,-89.9625,17.15924885968414,58.79999999999998
Acrobot-v1,10000,-179.1,150.85645968460028,-30.337500000000006
Acrobot-v1,50000,-149.475,148.58426901930096,-0.7125000000000057
Acrobot-v1,100000,-148.29999999999998,149.16054629636005,0.4625000000000057
Acrobot-v1,500000,-149.0625,148.77837724519745,-0.30000000000001137
Acrobot-v1,1e+06,-148.7625,148.9412438082308,0.0
Acrobot-v1,1e+07,-148.7625,148.9412438082308,0.0
Acrobot-v1,inf,-148.7625,148.9412438082308,0.0
