method,reward_scale,mean_final_eval,std_final_eval,median_final_eval
rate,0.01,274.15999999999997,200.71362241318405,178.45
rate,1.0,274.15999999999997,200.71362241318405,178.45
rate,100.0,274.15999999999997,200.71362241318405,178.45
vdbe,0.01,406.40999999999997,160.47105277207405,494.1
vdbe,1.0,368.87,188.18892428148428,500.0
vdbe,100.0,112.45,46.006454861126706,97.15
decay,0.01,404.07,121.84914215719553,456.4
decay,1.0,404.07,121.84914215719553,456.4
decay,100.0,404.07,121.84914215719553,456.4
