env_id,decile,progress_percent,td_mean,td_std,greedy_mean,greedy_std
MountainCar-v0,1,10,0.018599190849258204,0.0027050112462361693,-200.0,0.0
MountainCar-v0,2,20,0.013544835147758321,0.0002945754629250827,-200.0,0.0
MountainCar-v0,3,30,0.014244234326084454,0.000655505948626525,-200.0,0.0
MountainCar-v0,4,40,0.015397543292840321,0.002370907261429062,-200.0,0.0
MountainCar-v0,5,50,0.016205188524325686,0.0035601930298920447,-200.0,0.0
MountainCar-v0,6,60,0.018671771768530212,0.009072955446967667,-200.0,0.0
MountainCar-v0,7,70,0.018745262366930644,0.0067458713441616415,-200.0,0.0
MountainCar-v0,8,80,0.02187228407462438,0.014574629808242322,-199.005,2.8763837249806117
MountainCar-v0,9,90,0.025673134096662203,0.027705682962466106,-199.82,0.569209978830312
MountainCar-v0,10,100,0.03490938273146748,0.049550430433885156,-199.255,2.355896856825439
CartPole-v1,1,10,0.10178849930902836,0.008851319110596756,114.68500000000002,17.53653408680797
CartPole-v1,2,20,0.20571400506004692,0.016729966020284363,140.78,54.27880290172622
CartPole-v1,3,30,0.34452877860646697,0.029125412210772923,168.32999999999998,97.61151799067795
CartPole-v1,4,40,0.47405134256787596,0.038168185964084375,173.83499999999998,95.13513502732135
CartPole-v1,5,50,0.5471649045967311,0.05296664993261519,197.15,90.79439226442713
CartPole-v1,6,60,0.6405298277965933,0.08603037237570177,174.26,99.54149274437157
CartPole-v1,7,70,0.731100342887491,0.1530315567717271,186.11,100.40404982978636
CartPole-v1,8,80,0.807463012250215,0.24160784304676095,211.85499999999996,159.0981064382044
CartPole-v1,9,90,0.8762717954846474,0.34000780773936756,195.32,139.04193052617057
CartPole-v1,10,100,0.9742657546150684,0.44236283954313216,273.61,190.0637068634269
Acrobot-v1,1,10,0.03880798814909523,0.004906785828162771,-488.575,36.12902226742373
Acrobot-v1,2,20,0.0571416980786994,0.014109031949958254,-462.505,79.05432889264615
Acrobot-v1,3,30,0.11440717863224445,0.041735546220982474,-500.0,0.0
Acrobot-v1,4,40,0.1979991395255178,0.06947794108496273,-481.575,58.26496588860239
Acrobot-v1,5,50,0.30598656157821413,0.08102322634402764,-466.14,72.79355053849208
Acrobot-v1,6,60,0.45373219967812306,0.09461681432634864,-433.85,79.23949983015625
Acrobot-v1,7,70,0.6386675808410347,0.1093368443646732,-377.675,170.64512600065018
Acrobot-v1,8,80,0.8272764376707376,0.11904299466542778,-383.40999999999997,136.32649086333555
Acrobot-v1,9,90,0.9926241407939791,0.13678587723395172,-232.51,144.5745766800727
Acrobot-v1,10,100,1.0870975850829478,0.144279254221703,-211.055,133.47346479939583
LunarLander-v3,1,10,1.7100571505336681,0.1643941189881214,-173.22763665933417,72.64577114468965
LunarLander-v3,2,20,1.9924210045019788,0.2680134174832121,-175.82246817744334,132.50913869519883
LunarLander-v3,3,30,2.4969886722105743,0.3263030595718411,-40.19276778228306,78.45506399039397
LunarLander-v3,4,40,2.2665936677836376,0.24089977786350078,50.66404355621868,88.70721964464063
LunarLander-v3,5,50,1.281123121160865,0.918920493398453,59.70380690439074,98.07941958477592
LunarLander-v3,6,60,2.0092506807752946,3.587017152404333,-94.69585369735336,199.89421685355302
LunarLander-v3,7,70,4.44091068272551,7.957238124119935,-176.51851965666472,255.09599423463393
LunarLander-v3,8,80,6.733545353040794,11.421072871827695,-261.62606347690576,291.9636666993743
LunarLander-v3,9,90,7.12677566783309,11.079157640918154,-259.7866070472028,228.97712530528264
LunarLander-v3,10,100,9.1195018496872,14.434923915394778,-283.3863386955917,226.88873894046594
